"RecipeInstructions","Name","Images","Keywords","RecipeIngredientQuantities","RecipeIngredientParts","AggregatedRating","ReviewCount","RecipeId","RecipeCategory"
"In a bowl, whisk the sour cream, pudding mix, milk, lemon juice and peel until very well blended., Serve with fruit (cantelope, honey dew melon, apples, grapes, etc).","Sweet Lemon Fruit Dip","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/76/61/picnBkPK8.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/76/61/picUb3rnz.jpg","Citrus, Fruit, Low Protein, Spring, Summer, Brunch, < 15 Mins, Easy","2, 1, 1/4, 4, 1, NA","low-fat sour cream, sugar-free instant vanilla pudding mix, nonfat milk, lemon juice, lemon, rind of","5","6","117661","Lemon"
"In a medium-sized bowl, flake tuna with a fork; add beans, chiles, onions, and cilantro and toss to combine., In a small bowl, stir together remaining ingredients; add to tuna mixture and carefully toss to incorporate ingredients., Taste and adjust seasonings, if desired.","Black Bean Tuna Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/80/27/piceX9rhA.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/80/27/01461896202.jpeg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/80/27/pic3D9xep.jpg","Tuna, Black Beans, Beans, < 15 Mins, Easy","2, 1, 1, 3, 1 -2, 1/4, 1/2, 1/4, 1/4, 1/4, NA","albacore tuna, black beans, green chilies, red onions, fresh cilantro, mayonnaise, chili powder, cumin, cayenne pepper, salt, fresh ground pepper","5","25","118027","Lunch/Snacks"
"Spray a shallow baking dish with cooking spray (or lightly grease)., Place chicken in the dish and sprinkle with taco seasoning and .5 cup plus 2.5 tablespoons of picante sauce (a)., Bake at 375 degrees until internal temp reaches 170 degrees (25 to 35 minutes)., Add another .5 cup plus 2.5 tablespoons of picante sauce (b) and the 2.5 ounces shredded cheddar cheese, and bake an additional 5 minutes until cheese is melted.","Simple Salsa Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/80/63/picBH7fOJ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/80/63/pic1If1G5.jpg","Chicken Breast, Chicken, Poultry, Meat, Kid Friendly, Spring, < 60 Mins, Oven, Beginner Cook, Easy","10, 3, 1/2, 2 1/2, 1/2, 2 1/2, 2 1/2","boneless skinless chicken breasts, cheddar cheese","5","1","118063","Lunch/Snacks"
"Cook pasta according to package directions; set aside., Over medium heat, melt margarine in a medium sized skillet., Add chicken and sprinkle with seasoning salt and pepper., Cooking until lightly browned, stirring occasionally., In a medium sized bowl, add all of ingredients, mixing well., Chill for  at least 2 hours--better if you can chill overnight.","Chicken Pasta Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/81/36/picK7YPi9.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/81/36/picFSf3VT.jpg","NA","1, 1, 1, 2, 1/2, 1, 1/8, 3, 2","boneless skinless chicken breast, grape tomatoes, margarine, pepper, seasoning salt, canola oil, water","5","2","118136","< 30 Mins"
"For the Sauce:, Add sauce ingredients to a bowl one by one, mixing in between., For the Chicken:, Place flour, eggs, and panko in separate bowls., Lightly salt chicken then dip in eggs, then in flour, then in eggs, then in panko., Deep fry or pan fry at medium heat until lightly brown., Serve with sauce and hot rice.","Easy Chicken Katsu","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/87/35/picJRErnG.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/87/35/picR0mREp.jpg","Chicken, Poultry, Meat, Japanese, Asian, < 60 Mins, Stove Top","2, 1/2, 3, 1, NA, NA, 3, 2, 2, 1/2, 1, 1, 1/8, 1/8, 1/8, 1/8","boneless skinless chicken thighs, flour, eggs, applesauce, sugar, ketchup, soy sauce, Worcestershire sauce, cooking sherry, dry mustard, ground allspice, ground cloves, garlic powder","5","13","118735","Chicken Thigh & Leg"
"Place chicken in baking dish and cover with soup., Sprinkle cheese evenly over soup., Sprinkle bread crumbs over cheese., Drizzle with melted butter., Bake for 40-45 minutes at 350 until golden and bubbly.","Chicken Mozzarella","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/88/97/picFjTpUU.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/88/97/picGZIJyv.jpg","Poultry, Meat, < 60 Mins, Beginner Cook, Easy","4, 1, 8, 1/2, 1/3","boneless skinless chicken breasts, mozzarella cheese, butter, margarine","5","10","118897","Chicken"
"Mix all ingredients except chicken in a small bowl., Microwave about 15 seconds to melt sugar., Stir to blend., Brown chicken in a large saute pan coated with cooking spray about 5-10 minutes., Add sauce., Cook over low heat stirring sauce & turning chicken occasionally for about 10 minutes or until chicken juices run clear., Serve with rice if desired., 4 servings.","Strawberry Jammed Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/89/17/pic6CzZWo.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/89/17/picA0NVAn.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/89/17/picgecyDf.jpg","Poultry, Meat, < 30 Mins, Stove Top","1, 1/4, 2, 1/4, 1/8, 1, 1, 3, 1/2, 1","boneless chicken breast, garlic powder, onion powder, brown sugar, soy sauce, water, olive oil, black pepper","4.5","8","118917","Chicken"
"Combine mango, vinegar, sugar, garlic, and ketchup in a food processor and blend until smooth., Brush chicken with sauce and grill over medium high heat until chicken is fully cooked; basting with sauce as chicken cooks., Alternately, cover chicken with sauce and bake in 350 oven for 30 minutes or crockpot on low for 6-8 hours.","Mango Barbecued Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/91/94/picUmyrIj.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/91/94/picE8lZ7M.jpg","Chicken Breast, Chicken, Mango, Poultry, Tropical Fruits, Fruit, Meat, < 60 Mins, Beginner Cook, Easy","6, 1, 3, 2, 1, 1/4","boneless chicken breasts, mango, apple cider vinegar, dark brown sugar, garlic clove, ketchup","4.5","6","119194","One Dish Meal"
"In a medium sized bowl, mix together the soy sauce, garlic, ginger, salt and pepper., Place the chicken in the mixture and let sit for 30 minutes., Mix the corn flour with the plain flour., Take each piece of chicken from the marinade and roll in the flour mixture until it is coated completely., Heat the oil to 180 degrees C (350 degrees F) and deep-fry the chicken pieces for 4-5 minutes or until golden brown., Serve on a bed of salad garnished with a lemon.","Tori No Kara-age (deep Fried Chicken Nuggets)","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/92/21/picqJ9oCa.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/92/21/picJY203S.jpg","Chicken, Poultry, Meat, Japanese, Asian, High Protein, Healthy, High In..., Savory, < 60 Mins, Deep Fried","2, 3, 30, 2, NA, 2, 2, NA, 2","boneless skinless chicken breasts, soy sauce, gingerroot, garlic cloves, cornflour, plain flour, lemons","5","12","119221","Chicken Breast"
"Sprinkle pork chops with salt and pepper., Cook pork chops in hot oil in a large skillet over medium-high heat 5 minutes on each side or until browned., Drain., Add Onions, and remaining ingredients to skillet., Cover, reduce heat to medium, and simmer 30 minutes or until meat is tender.","Pork Chops Supreme","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/95/57/picWotJf2.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/95/57/picLlca2N.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/95/57/picOvZsJp.jpg","Meat, High Protein, High In..., < 60 Mins, Beginner Cook, Easy, Inexpensive","6, 1/2, 1/2, 2, 3, 1/2, 2, 2","boneless center cut pork chops, salt, pepper, onions, water, light brown sugar, cider vinegar","4.5","13","119557","Pork"
"Preheat the oven to 350°F., Rub the pork loin with rosemary, garlic, salt and pepper and place it in a roasting pan. Pour the wine into the bottom of the pan., Roast the pork for about 1 1/2 hours, basting occasionally with the wine and juices from the bottom of the pan. The pork is cooked when a meat thermometer measures 160°F., Remove it from the oven and let the meat rest about 15 minutes before slicing.","Roasted Pork Loin With Rosemary and Garlic","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/03/72/picVADIXy.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/03/72/pic2yMiSH.jpg","Meat, Very Low Carbs, High Protein, High In..., Brunch, Oven, < 4 Hours, Easy","1, 1, 4, NA, NA, 1","boneless pork loin, fresh rosemary, garlic cloves, salt, fresh ground black pepper, dry white wine","5","8","120372","Pork"
"Combine lime juice, lime zest, honey, ginger, and garlic in a large ziploc bag., Add chicken and combine well., Squeeze out as much air as possible and freeze., Remove from freezer the night before serving and defrost all day in the fridge; chicken will marinate as it defrosts., Transfer thighs to a roasting pan and bake at 350 for 25-30 minutes, or until chicken is cooked through., You can also cook this chicken on the BBQ/grill if desired.","Chicken Thighs With Lime and Honey (Oamc)","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/05/13/picIww8b1.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/05/13/picNWtRA4.jpg","Chicken, Poultry, Meat, Healthy, Broil/Grill, < 60 Mins, Oven, Easy","12, 3, 8, 1, 1","boneless skinless chicken thighs, limes, juice and zest of, liquid honey, fresh ginger, garlic clove","5","25","120513","Chicken Thigh & Leg"
"Mix everything very well together., Stuff casings if used or shape into patties for the best hamburgers in the world!, Barbecue or pan-fry 4 minutes on each side.","Boerewors - South African Sausage","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/07/35/picMuz9ti.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/07/35/picT3p9RG.jpg","South African, African, Very Low Carbs, < 15 Mins, Easy","1 1/2, 1 1/2, 3, 1, 1/2, 1/4, 1/4, 2/3","beef, boneless pork ribs, ground coriander, salt, fresh ground black pepper, ground cloves, ground nutmeg, white vinegar","5","4","120735","Meat"
"Sprinkle the chicken cubes with salt and 1/2 teaspoon of the curry powder., In a small bowl, combine the broth, onions, crushed red pepper and remaining curry powder; set aside., In wok, heat oil over medium high heat., Add the chicken; cook and stir until browned., Add jicama and bell pepper to wok., Cook 3 minutes, stirring often., Add broth mixture; cook and stir 3 minutes or until heated through., Serve over rice and garnish with peanuts.","Jicama Chicken Saute","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/19/93/pica6XOx5.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/19/93/pic19PCEL.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/19/93/piczs2EJV.jpg","Chicken Breast, Chicken, Poultry, Meat, Low Cholesterol, Healthy, Spicy, < 30 Mins","2, 1/4, 1, 1/2, 2, 1/4, 1, 2, 1, 1/4, NA","boneless skinless chicken breast halves, salt, curry powder, chicken broth, green onions, crushed red pepper flakes, olive oil, jicama, red bell pepper, cooked rice","5","5","121993","Curries"
"Cream butter until light and fluffy; gradually add honey, beating well., Beat in lemon rind., Chill butter mixture several hours or overnight., Serve with muffins or toast.","Honey Butter","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/64/piclmmImQ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/64/pictN19xa.jpg","Low Protein, < 15 Mins, Easy","1/4, 2, 2/3, 1/2","butter, butter, honey, fresh lemon rind","5","10","122164","Sauces"
"In blender, combine the first 3 ingredients, cover and process until well blended. Pour into a bowl and set aside., Again in blender, combine milk and next 4 ingredients, cover and process until smooth., Pour this into a 9-inch, cooking spray coated, pie plate. DO NOT STIR., Bake in a 425°F oven for 15 minutes or until puffy and golden brown., Spoon cottage cheese onto pancake and layer with strawberries.","Strawberry-Topped Puffy Pancake With Creamy Orange Filling","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/23/93/piconIojw.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/23/93/picZ9vPE0.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/23/93/picnKjrXP.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/23/93/pic5EgFWu.jpg","Strawberry, Berries, Fruit, Healthy, Brunch, < 30 Mins, Beginner Cook, Easy","1/2, 1/4, 2, 2/3, 1/2, 1, 1, 2, NA, 2 1/3","1% fat cottage cheese, powdered sugar, skim milk, all-purpose flour, honey, fresh lemon rind, eggs, fresh strawberries","4.5","9","122393","Breakfast"
"Heat oven to 350°., Place roast with all the vegetables in an ungreased 9x13-inch or larger baking pan., Sprinkle all the spices over the meat. This may seem really thick but its wonderful., Pour the water over the vegetables., Cover with foil and bake at 350° for 2 to 2 1/2 hours., Serve with the pan juices.","Herb Pot Roast and Vegetables","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/25/69/picB4EPF7.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/25/69/picpouAqf.jpg","Roast Beef, Potato, Greens, Vegetable, Meat, < 4 Hours, Easy","2 -3, 9, 1 1/2, 8, 1, 1 1/2, 1/4, 1, 1, 1, 1/2, 1/2, 1/2","boneless beef chuck roast, fresh green beans, onion, beef bouillon granules, pepper, dried marjoram, thyme, oregano leaves, salt, garlic powder, water","5","6","122569","One Dish Meal"
"In a small bowl, mix together soy sauce, honey, vinegar, ginger, garlic, oil and green onion., Transfer marinade to a large heavy-duty ziploc freezer bag or a glass dish., Add in the cubed beef; seal bag and turn to coat beef well., place in the fridge for a minumum of 8 hours or overnight (overnight is better)., When ready to grill, drain the marinade and discard., Skewer beef, pineapple chunks and veggies in an alternating pattern., Grill over hot coals for about 18-20 minutes.","Ginger Beef and Pineapple Skewers","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/28/29/picU5jQ48.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/28/29/picW21s0l.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/28/29/picNPAbky.jpg","Meat, Summer, Easy","1/2, 3 -4, 2, 1 1/2, 1 1/2, 3/4, 1, 3, 1, 3, 2, 10","soy sauce, honey, white vinegar, garlic powder, fresh garlic cloves, ginger powder, green onion, boneless beef sirloin, fresh pineapple, green bell peppers, red onions","5","10","122829","Vegetable"
"In a large skillet, over med-high heat, sauté onion and garlic in oil., Meanwhile, in a mixing bowl, combine chili powder, ginger, salt, lemon juice and coconut milk and stir., Add chicken to skillet and brown both sides. Reduce heat to medium., Pour coconut milk mixture over chicken in skillet and cover. Continue to cook over medium heat until chicken is done; about 20-25 minutes.","Chicken in Coconut Sauce","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/30/89/picpMPUi4.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/30/89/picMJ8Udh.jpg","Poultry, Coconut, Fruit, Nuts, Meat, < 60 Mins","1, 1/2, 2, 1, 1, 1/2, 1, 1, 2","boneless skinless chicken breasts, boneless skinless chicken thighs, sweet onion, garlic cloves, chili powder, ground ginger, salt, lemon juice, coconut milk","4.5","13","123089","Chicken"
"In a large saucepan, bring the water and sugar to a boil., Reduce heat, add juices and lime peel., Simmer, uncovered, 30 minutes., Strain syrup; refrigerate 2 hours., For one serving: Add 1/4 cup syrup to 3/4 cup tea.","Citrus Iced Tea","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/32/83/picJKOhmT.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/32/83/picuRLhaQ.jpg","Beverages, Lemon, Lime, Oranges, Citrus, Fruit, Summer, Brunch, < 60 Mins, Easy","2 1/2, 1/2, 2, 1, 3, 1, 1, 6","water, sugar, sugar, lemon juice, lime juice, lime peel","4.5","7","123283","Punch Beverage"
"In a ziplock bag combine lemons, salt and pepper,garlic,oil,extract, rosemary broken in 1/2., Shake well., Place chicken in bag and marinate in fridge no less than 4 hours but if possible overnight., Grill on low heat just till no longer pink., This chicken tastes great on salads.","Grilled Lemon Rosemary Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/38/51/picjFKI3E.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/38/51/picpFPSC0.jpg","Chicken, Poultry, Meat, Kid Friendly, Savory, < 60 Mins, Beginner Cook, Easy","4, 3 -4, 3, 2, 2, 1, NA","boneless chicken breasts, lemons, minced garlic cloves, canola oil, rosemary sprigs","5","3","123851","Chicken Breast"
"Rinse rice and cook in the chicken broth 45 minutes to 1 hour., Drain and toss with the lemon juice; cool., Add to rice the chicken, green onions, red pepper, and peas., Toast the pecans on a baking sheet in oven at 350° for about 5 minutes, checking often., Mix all the dressing ingredients together and pour over the rice salad., Just before serving add the avocados and pecans.","Chicken Wild Rice Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/42/02/picRpXgSS.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/42/02/picBjTPoJ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/42/02/pic9QDg0w.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/42/02/picPpprWO.jpg","Chicken, Poultry, Rice, Fruit, Vegetable, Nuts, Meat, Brunch, < 60 Mins","1, 5 1/2, 3, 4, 3, 1/2, 2, 2, 1, 2, 1, 1/2, 1/4, 1/4, 1/4, 1/3","wild rice, lemon juice, boneless skinless chicken breasts, green onions, sugar snap peas, avocados, pecan halves, garlic cloves, Dijon mustard, salt, pepper, sugar, red wine vinegar","5","2","124202","Lunch/Snacks"
"Place all the ingredients in a blender and blend until the mixture become a paste. Add 4-5 tablespoons of cold water to ease blending. Add the yoghurt and mix well blended., Adjust seasoning as per taste., This chutney can be stored in an airtight, non-metallic container for up to four days in the refrigerator., ** servings is a rough guess,as it depends on what the chutney is used for.","Coriander Chutney","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/43/83/picmQ4pgw.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/43/83/picVd5Na3.jpg","Sauces, Asian, Indian, < 15 Mins, Beginner Cook, Easy, Inexpensive","200, 3, 1, 1/2, 1, 2, 2, 2 -3","coriander leaves, green chilies, garlic clove, salt, lemon juice, tamarind juice, coconut cream","4.5","2","124383","Chutneys"
"For the marinade: combine all ingredients., Coat the chicken strips in the marinade to coat well., Transfer to a glass dish., Cover and marinate overnight., Thread the chicken strips on the water-soaked wooden skewers., Preheat the broiler to high heat., Arrange the skewers on a greased foil-lined baking sheet., Broil for about 6-7 minutes (turning occasionally) until well browned and thoroughly cooked.","Honey Garlic Chicken Skewers","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/23/picmGK880.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/23/picZCJSTt.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/23/picxB9tR8.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/23/picREbPCc.jpg","Meat, Healthy, Summer, Broil/Grill, Oven, Easy","12, 4, 4, 2 -4, 1/4, 1/4, 2, 2, NA","boneless skinless chicken breasts, fresh garlic cloves, honey, ketchup, Worcestershire sauce, Dijon mustard, Tabasco sauce","4.5","13","124623","Poultry"
"Combine crumbs, 2 tablespoons Parmesan cheese, oregano, garlic and pepper., Roll chicken in mixture., Arrange in 2 quart shallow baking dish (12 x 8 x 2), bake at 400 degrees for 20 minutes., Turn chicken; bake 20 minutes more., Meanwhile, blend soup and milk., Pour over chicken., Sprinkle with paprika and remaining Parmesan cheese., Bake 20 minutes more or until done., Arrange chicken on platter., Stir sauce; serve with chicken.","Parmesan Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/49/25/pickVnnTS.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/49/25/pic8ASnt5.jpg","Chicken Breast, Chicken, Poultry, Meat, High Protein, Healthy, Kid Friendly, High In..., Winter, Oven, < 4 Hours","1/2, 4, 1/4, 1/4, 1/4, 2, 1, 1/2, NA","parmesan cheese, oregano, garlic powder, pepper, boneless skinless chicken breasts, milk, paprika","5","1","124925","One Dish Meal"
"Season pork chops with salt, pepper, garlic salt and paprika.  Place in large skillet.  Start heating skillet to medium heat., Combine can of Coke and BBQ sauce and mix well., Pour BBQ/Coke mixture over seasoned pork chops., Bring to a boil, then cover and simmer over medium/low heat for 1 hour.  (I turn the pork chops after 1/2 hour.)., YUM!  :).","Easiest BBQ Pork Chops in the World","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/15/pic0Xbing.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/15/picFkXU9Q.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/15/picjJC42h.jpg","Meat, Healthy, Kid Friendly, Beginner Cook, < 4 Hours, Easy","4, 1, 1, 1, 1/2, NA","boneless pork chops, hickory flavored barbecue sauce, paprika","4","8","125115","Pork"
"Place broccoli in large bowl., Combine next four ingredients, drizzle over broccoli, and toss to coat; let stand for half an hour., Spray grill rack before preparing grill for indirect heat., Toss broccoli again and drain marinade; place Parmesan in large ziploc bag and shake broccoli, a few pieces at a time, with the cheese to coat., Grill broccoli, covered, over indirect medium heat for 8-10 minutes on each side or until crisp-tender.","Grilled Parmesan Broccoli","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/27/picIb8jjV.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/27/picTniA6z.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/27/piculuST0.jpg","Vegetable, Summer, < 60 Mins, Easy","6, 2 1/2, 2, 1/4, 1/4, 3/4","broccoli stems, lemon juice, olive oil, salt, pepper, parmesan cheese","5","12","125127","Cheese"
"Heat oil in a large skillet over med to high heat.  Add onion, carrot, and celery; Cook until they begin to soften., Add chicken to the veggies and cook until opaque, 5-7 minutes., Stir in tomatoes, basil, salt and pepper; Reduce heat and simmer until chicken is cooked through, 10-12 minutes.","Italian Skillet Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/90/picu7mjyA.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/90/picx2RGY2.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/90/picLcrpMx.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/51/90/picERj5wx.jpg","Chicken, Poultry, Meat, European, Savory, Brunch, < 30 Mins, Beginner Cook, Stove Top, Easy","2, 1, 1, 2, 4, 1, 1, 1/2, 1/2","olive oil, onion, carrot, celery ribs, boneless skinless chicken breasts, crushed tomatoes, fresh basil, salt, fresh ground pepper","5","8","125190","Chicken Breast"
"Preheat grill to medium., In a small dish, combine the butter, chipotle and adobo sauce until well blended., Wash steaks, dry and sprinkle both sides of meat with the pepper blend and seasoned salt; gently rub into meat., Place on grill and cook 8 to 10 minutes or until desired degree of doneness, turning once., Top each steak with chipotle butter and serve.","Grilled Steaks (Or Chops) With Chipotle Butter","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/53/90/picQApJpx.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/53/90/picEr8TRC.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/53/90/picmy9wbF.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/53/90/picTQSPPP.jpg","Lamb/Sheep, Pork, Meat, Southwestern U.S., < 30 Mins","4, 1, 1/4, 4, 1/2, NA","butter, chipotle chile in adobo, adobo sauce, boneless beef top loin steaks, black and red pepper blend, seasoning salt","5","8","125390","Steak"
"Preheat oven to 350º., Brease a large cookie sheet., Pound chicken breasts between 2 sheets of waxed paper to about 1/4 inch thick., Dip chicken into salad dressing to coat., Then dip into crushed chips, making sure chicken is well-coated., Place on cookie sheet., Bake 30 minutes.","El Rancho Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/61/24/picbqoLFq.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/61/24/picqNGvCh.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/61/24/picwasNvi.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/61/24/picfuC393.jpg","Chicken, Poultry, Meat, Kid Friendly, < 60 Mins, Oven, Beginner Cook, Easy","4, 1/2, 1 1/4","boneless skinless chicken breast halves, nacho cheese flavored tortilla chips","4.5","3","126124","Chicken Breast"
